시설명,시설구분,급여구분,설립구분,지정일자,소재지도로명주소,소재지지번주소,위도,경도,전화번호,데이터기준일
나드리노인복지관,노인여가복지시설,이용시설,법인,2010-01-29,전라남도 화순군 화순읍 학포로 2642,전라남도 화순군 화순읍 강정리 139 나드리노인복지관,35.0460317,126.9681031,061-371-1166,2024-06-28
소향원,노인주거복지시설,양로시설,법인,1996-10-17,전라남도 화순군 춘양면 학포로 1303-1,전라남도 화순군 춘양면 우봉리 495-1 소향원,34.94307095,126.9748156,061-371-6406,2024-06-28
영산노인전문요양원,노인의료복지시설,노인요양시설,법인,2008-05-29,전라남도 화순군 춘양면 학포로 1303-1,전라남도 화순군 춘양면 우봉리 495-1 소향원,34.94307095,126.9748156,061-371-0038,2024-06-28
현대노인요양원,노인의료복지시설,노인요양시설,법인,2011-11-08,전라남도 화순군 화순읍 쌍충로 95,전라남도 화순군 화순읍 교리 249 현대요양병원,35.06018741,126.9807789,061-371-0117,2024-06-28
화순햇살요양원,노인의료복지시설,노인요양시설,개인,2018-01-30,전라남도 화순군 동면 규봉로 387-27,전라남도 화순군 동면 청궁리 96-1,35.07149041,127.0580935,061-373-7712,2024-06-28
아름다운실버빌,노인의료복지시설,노인요양공동생활가정,개인,2015-01-15,전라남도 화순군 화순읍 중주길 2,전라남도 화순군 화순읍 만연리 129,35.06176242,126.9881181,061-374-6478,2024-06-28
더불어재활요양원,노인의료복지시설,노인요양시설,개인,2019-09-18,전라남도 화순군 능주면 너머터길 5,전라남도 화순군 능주면 원지리 185,35.01097278,126.9529811,061-371-6900,2024-06-28
화순요양원,노인의료복지시설,노인요양시설,법인,2010-03-01,전라남도 화순군 화순읍 정곡로 115,전라남도 화순군 화순읍 서태리 479-6 화순노인복지센터,35.04268582,126.9539182,061-374-0036,2024-06-28
신도곡실버타운,노인의료복지시설,노인요양시설,개인,2020-03-06,전라남도 화순군 도곡면 지석로 1218-18 (신도곡실버타운),전라남도 화순군 도곡면 대곡리 779-1 신도곡실버타운,34.99567574,126.9285372,061-373-8838,2024-06-28
연비재활요양원,노인의료복지시설,노인요양시설,개인,2017-11-07,전라남도 화순군 화순읍 덕촌길 36-1,전라남도 화순군 화순읍 광덕리 153,35.05425383,126.986866,061-372-0677,2024-06-28
화순중앙요양원,노인의료복지시설,노인요양시설,법인,2021-04-22,"전라남도 화순군 화순읍 칠충로 101, 5층 (베스트요양병원 5층 (화순중앙요양원))",전라남도 화순군 화순읍 삼천리 637-5,35.05862953,126.980575,061-373-7710,2024-06-28
평안애노인전문요양원,노인의료복지시설,노인요양시설,개인,2024-02-07,전라남도 화순군 도곡면 효자2길 75-15,전라남도 화순군 도곡면 천암리 696-29,35.01441802,126.9124553,061-373-7512,2024-06-28
삼성재활전문요양원,노인의료복지시설,노인요양시설,법인,2019-04-05,"전라남도 화순군 이양면 학포로 72, 1~2층 (삼성재활전문요양원)",전라남도 화순군 이양면 매정리 466,34.86824956,127.0213427,061-372-1022,2024-06-28
은빛소망요양원,노인의료복지시설,노인요양시설,개인,2019-12-01,전라남도 화순군 도곡면 지강로 183 (은빛소망요양원),전라남도 화순군 도곡면 천암리 696-29,35.01441802,126.9124553,061-372-0038,2024-06-28
신부모사랑실버빌,노인의료복지시설,노인요양공동생활가정,개인,2020-03-06,전라남도 화순군 능주면 정암길 45 (신부모사랑실버빌),전라남도 화순군 능주면 정남리 266 노인복지시설,34.99214402,126.9542961,061-373-6947,2024-06-28
소망요양원,노인의료복지시설,노인요양시설,개인,2010-08-18,전라남도 화순군 동면 충의로 715-4,전라남도 화순군 동면 장동리 683-1,35.02915503,127.0351074,061-372-6547,2024-06-28
산들바람실버빌,노인의료복지시설,노인요양공동생활가정,개인,2023-08-04,전라남도 화순군 도곡면 지석로 1218-20,전라남도 화순군 도곡면 대곡리 779,34.99557241,126.9287876,061-374-8800,2024-06-28
효사랑감로원,노인의료복지시설,노인요양시설,개인,2016-08-29,전라남도 화순군 화순읍 하만길 23,전라남도 화순군 화순읍 삼천리 163,35.03725822,126.9833774,061-373-1907,2024-06-28
온휴실버빌,노인의료복지시설,노인요양공동생활가정,개인,2022-02-14,전라남도 화순군 능주면 지석로 1496,전라남도 화순군 능주면 정남리 186-8,34.99332537,126.9560127,061-373-7667,2024-06-28
사평예랑의집,노인의료복지시설,노인요양공동생활가정,개인,2009-01-13,전라남도 화순군 사평면 김삿갓로 18 (사평예랑의집),전라남도 화순군 사평면 사평리 100-2 사평예랑의집,35.00826642,127.0948946,061-373-1900,2024-06-28
믿음소망사랑노인주간보호센터,재가노인복지시설,장기요양기관,개인,2018-12-01,전라남도 화순군 능주면 석고길 18,전라남도 화순군 능주면 석고리 243,34.99077146,126.9572238,061-373-4561,2024-06-28
평화재가노인복지센터,재가노인복지시설,장기요양기관,개인,2021-09-01,"전라남도 화순군 화순읍 만연로 127, 2층",전라남도 화순군 화순읍 신기리 128-1,35.06717724,126.9901077,061-374-0708,2024-06-28
봄날재가복지센터,재가노인복지시설,장기요양기관,개인,2024-04-25,"전라남도 화순군 화순읍 진각로 138, 2층",전라남도 화순군 화순읍 만연리 161-3,35.06331202,126.9868967,061-374-1637,2024-06-28
도곡부모돌봄복지센터,재가노인복지시설,장기요양기관,개인,2022-08-26,전라남도 화순군 도곡면 지강로 514-5,전라남도 화순군 도곡면 원화리 349-1,35.04026173,126.9057206,061-375-8583,2024-06-28
행복한동행노인복지센터,재가노인복지시설,장기요양기관,개인,2023-02-20,전라남도 화순군 화순읍 오성로 460,전라남도 화순군 화순읍 계소리 135-1,35.05159272,126.9590307,061-372-5858,2024-06-28
효성노인복지센터,재가노인복지시설,장기요양기관,개인,2020-08-01,"전라남도 화순군 화순읍 진각로 143, 2층 201호 (효성노인복지센터)",전라남도 화순군 화순읍 훈리 37-6,35.06389087,126.9867734,061-374-7474,2024-06-28
화순굿닥터복지센터 주간보호,재가노인복지시설,장기요양기관,개인,2024-05-27,전라남도 화순군 화순읍 소천길 19-1,전라남도 화순군 화순읍 신기리 268-1,35.06556272,126.9893626,061-374-2777,2024-06-28
해바라기힐링주야간보호센터,재가노인복지시설,장기요양기관,개인,2023-04-21,전라남도 화순군 능주면 정암길 100,전라남도 화순군 능주면 잠정리 175,34.98857509,126.9583529,061-373-7833,2024-06-28
가온노인복지센터,재가노인복지시설,장기요양기관,개인,2023-05-22,전라남도 화순군 화순읍 용곡3길 64,전라남도 화순군 화순읍 일심리 871-1,35.06188744,126.9970237,061-373-4885,2024-06-28
참노인복지센터,재가노인복지시설,장기요양기관,개인,2023-08-04,전라남도 화순군 화순읍 자치샘로 48,전라남도 화순군 화순읍 향청리 52,35.06103831,126.9861249,061-374-3465,2024-06-28
다원재가노인복지센터,재가노인복지시설,장기요양기관,개인,2023-10-20,"전라남도 화순군 화순읍 칠충로 53, 301호 (대광로제비앙)",전라남도 화순군 화순읍 대리 97-3,35.05567127,126.9772841,061-374-7685,2024-06-28
영진노인복지센터,재가노인복지시설,장기요양기관,개인,2022-04-08,"전라남도 화순군 화순읍 도서관길 20, 2층",전라남도 화순군 화순읍 교리 221-3,35.06224948,126.9825663,061-375-2504,2024-06-28
이루리재가노인복지센터,재가노인복지시설,장기요양기관,개인,2018-05-28,"전라남도 화순군 화순읍 한고을길 12, 101동 902층 (흥용 한고을 아파트)",전라남도 화순군 화순읍 대리 155,35.05506493,126.9745936,061-374-8668,2024-06-28
채움+노인복지센터,재가노인복지시설,장기요양기관,개인,2023-04-05,"전라남도 화순군 화순읍 도내기길 1, 1층",전라남도 화순군 화순읍 훈리 12-6,35.06753776,126.9877992,061-374-7159,2024-06-28
인연재가노인복지센터,재가노인복지시설,장기요양기관,개인,2024-04-25,"전라남도 화순군 화순읍 중앙로 65, 305호",전라남도 화순군 화순읍 향청리 8-1,35.06061303,126.9886413,061-372-3595,2024-06-28
화순중앙노인복지센터,재가노인복지시설,장기요양기관,법인,2021-11-16,전라남도 화순군 화순읍 칠충로 95,전라남도 화순군 화순읍 삼천리 641-3,35.05795296,126.9806057,061-374-7302,2024-06-28
화순삼성노인복지센터,재가노인복지시설,장기요양기관,법인,2009-03-20,전라남도 화순군 화순읍 시장길 9,전라남도 화순군 화순읍 삼천리 738-8,35.05645032,126.983284,061-374-4232,2024-06-28
화순햇살노인복지센터,재가노인복지시설,장기요양기관,개인,2018-01-30,전라남도 화순군 동면 규봉로 387-27,전라남도 화순군 동면 청궁리 96-1,35.07149041,127.0580935,061-373-7712,2024-06-28
한결노인복지센터,재가노인복지시설,장기요양기관,개인,2021-08-23,전라남도 화순군 화순읍 일심3길 7 (한결노인복지센터),전라남도 화순군 화순읍 일심리 770,35.05628164,126.9932545,061-374-9998,2024-06-28
쉼재가복지센터,재가노인복지시설,장기요양기관,개인,2024-04-25,전라남도 화순군 화순읍 오성로 412,전라남도 화순군 화순읍 계소리 328,35.05102547,126.9542206,061-374-1006,2024-06-28
행운재가복지센터,재가노인복지시설,장기요양기관,개인,2024-05-27,전라남도 화순군 화순읍 광덕로 127,전라남도 화순군 화순읍 광덕리 379,35.05604857,126.9922105,061-927-5919,2024-06-28
화순노인복지센터,재가노인복지시설,장기요양기관,법인,2008-05-26,전라남도 화순군 화순읍 정곡로 115,전라남도 화순군 화순읍 서태리 479-7,35.04268582,126.9539182,061-374-0034,2024-06-28
동행노인복지센터,재가노인복지시설,장기요양기관,개인,2022-02-14,전라남도 화순군 화순읍 대교로 139,전라남도 화순군 화순읍 유천리 332,35.06344655,126.9944495,061-373-8201,2024-06-28
늘 참사랑재가복지센터,재가노인복지시설,장기요양기관,개인,2020-06-05,"전라남도 화순군 화순읍 훈리길 23, 1층 (늘 참사랑재가노인복지센터)",전라남도 화순군 화순읍 훈리 44-51,35.06282988,126.9861085,061-372-0108,2024-06-28
효사랑복지센터,재가노인복지시설,장기요양기관,개인,2017-12-27,전라남도 화순군 화순읍 신기중앙길 24-1,전라남도 화순군 화순읍 신기리 296,35.06554627,126.9888259,061-373-8865,2024-06-28
섬김재가노인복지센터,재가노인복지시설,장기요양기관,개인,2020-09-25,"전라남도 화순군 화순읍 일심3길 19, 3층",전라남도 화순군 화순읍 일심리 785,35.05630964,126.9942689,061-372-9998,2024-06-28
늘편한노인복지센터,재가노인복지시설,장기요양기관,개인,2023-02-20,전라남도 화순군 화순읍 용곡3길 85,전라남도 화순군 화순읍 일심리 872-5,35.0612847,126.9974927,061-375-0006,2024-06-28
평안애노인주간보호센터,재가노인복지시설,장기요양기관,개인,2024-02-07,전라남도 화순군 도곡면 효자2길 75-15,전라남도 화순군 도곡면 효산리 856-24,34.99668826,126.9137729,061-373-7512,2024-06-28
강산의료기,재가노인복지시설,장기요양기관,개인,2024-03-21,전라남도 화순군 화순읍 칠충로 116,전라남도 화순군 화순읍 삼천리 617-5,35.05917279,126.9823455,061-373-3700,2024-06-28
현대재가방문간호센터,재가노인복지시설,장기요양기관,법인,2024-03-21,"전라남도 화순군 화순읍 쌍충로 99, 2층",전라남도 화순군 화순읍 교리 248,35.06051719,126.9805984,061-371-0116,2024-06-28
효사랑감로원재가노인복지센터,재가노인복지시설,장기요양기관,개인,2016-09-08,전라남도 화순군 화순읍 하만길 23,전라남도 화순군 화순읍 삼천리 163,35.03725822,126.9833774,061-373-1907,2024-06-28
동심의료기,재가노인복지시설,장기요양기관,개인,2023-07-07,전라남도 화순군 화순읍 만연로 127,전라남도 화순군 화순읍 신기리 128-1,35.06717724,126.9901077,061-371-3113,2024-06-28
바른노인복지센터,재가노인복지시설,장기요양기관,개인,2022-06-27,"전라남도 화순군 화순읍 자치샘로 48, 413호 (미래타워)",전라남도 화순군 화순읍 향청리 52,35.06103831,126.9861249,061-371-0621,2024-06-28
평안 노인주간보호센터,재가노인복지시설,장기요양기관,개인,2019-12-16,전라남도 화순군 화순읍 충의로 70 (평안 노인주간보호센터),전라남도 화순군 화순읍 삼천리 580-21,35.05551802,126.9853628,061-374-0510,2024-06-28
한마음재가노인복지센터,재가노인복지시설,장기요양기관,개인,2017-08-23,"전라남도 화순군 화순읍 광덕중앙길 20, 103호",전라남도 화순군 화순읍 광덕리 116-2,35.05746813,126.9868207,061-372-8899,2024-06-28
연비재활노인복지센터,재가노인복지시설,장기요양기관,개인,2017-08-07,전라남도 화순군 화순읍 덕촌길 36-1,전라남도 화순군 화순읍 광덕로 153,35.05425383,126.986866,061-372-0677,2024-06-28
선향노인복지센터,재가노인복지시설,장기요양기관,개인,2016-05-26,전라남도 화순군 화순읍 노대길 22,전라남도 화순군 화순읍 광덕로 339,35.05625607,126.9909785,061-372-2366,2024-06-28
하나노인복지센터,재가노인복지시설,장기요양기관,개인,2014-04-15,전라남도 화순군 동면 충의로 698,전라남도 화순군 동면 장동리 841-1,35.02731104,127.0333443,061-372-2335,2024-06-28
은성복지용구,재가노인복지시설,장기요양기관,개인,2010-05-31,전라남도 화순군 화순읍 만연로 10-1,전라남도 화순군 화순읍 광덕리 324,35.0565889,126.990348,061-373-9866,2024-06-28
재활노인복지센터,재가노인복지시설,장기요양기관,개인,2013-09-05,"전라남도 화순군 화순읍 대교로 147-10, 1층 (1층 일부)",전라남도 화순군 화순읍 일심리 501,35.0638581,126.9966015,061-375-9235,2024-06-28
소향노인주간보호센터,재가노인복지시설,장기요양기관,법인,2019-12-03,전라남도 화순군 춘양면 학포로 1303-1 (소향노인주간보호센터),전라남도 화순군 춘양면 우봉리 495-1 소향원,34.94307095,126.9748156,061-371-0058,2024-06-28
전원재가복지센터,재가노인복지시설,장기요양기관,개인,2019-12-01,전라남도 화순군 동면 천운길 12-12 (전원재가복지센터),전라남도 화순군 동면 오동리 산 71-11,35.03441289,127.0584365,061-372-9188,2024-06-28
성경노인복지센터,재가노인복지시설,장기요양기관,개인,2009-07-13,전라남도 화순군 화순읍 일심2길 3,전라남도 화순군 화순읍 일심리 803,35.05587545,126.992736,061-373-6004,2024-06-28
더불어재활주간보호센터,재가노인복지시설,장기요양기관,개인,2019-09-18,"전라남도 화순군 능주면 너머터길 5, 1층",전라남도 화순군 능주면 원지리 185,35.01097278,126.9529811,061-371-6900,2024-06-28
화순사랑의집 재가노인복지센터,재가노인복지시설,장기요양기관,개인,2019-03-22,전라남도 화순군 동면 구봉산길 65 (화순사랑의집 재가노인복지센터),전라남도 화순군 동면 복암리 455-1,35.03607561,127.0775141,061-371-5005,2024-06-28
고려종합노인복지센터,재가노인복지시설,장기요양기관,개인,2009-05-25,"전라남도 화순군 화순읍 광덕로 135, 2층",전라남도 화순군 화순읍 광덕리 351,35.05682357,126.9921901,061-371-0061,2024-06-28
신 동심의료기,재가노인복지시설,장기요양기관,개인,2018-07-12,전라남도 화순군 화순읍 만연로 24,전라남도 화순군 화순읍 광덕리 303,35.05772599,126.9903409,061-371-3113,2024-06-28
에덴복지센터,재가노인복지시설,장기요양기관,개인,2008-08-07,전라남도 화순군 백아면 백아로 2472-10,전라남도 화순군 백아면 임곡리 522,35.13664601,127.0921777,061-372-6875,2024-06-28
(주)한가족노인복지센터,재가노인복지시설,장기요양기관,법인,2012-02-06,전라남도 화순군 화순읍 진각로 105,전라남도 화순군 화순읍 향청리 76-3,35.06077186,126.9853349,061-371-3658,2024-06-28
한우리재가복지센터,재가노인복지시설,장기요양기관,개인,2009-12-17,전라남도 화순군 화순읍 자치샘로 56-1,전라남도 화순군 화순읍 향청리 26-4,35.0609423,126.9868237,061-375-9131,2024-06-28
